장례식장명,주소,대표연락처,24시간운영여부,제휴여부,소개글
21그램 경기광주점,경기 광주시 매산동 139,1551-5052,N,N,"21그램 경기광주점은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
21그램 남양주점,경기 남양주시 화도읍 차산리 856-1,1551-5052,N,N,"21그램 남양주점은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
21그램 천안아산점,충청남도 천안시 동남구 광풍로 1668,1551-5052,N,N,"21그램 천안아산점은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
강릉펫사랑,강원 강릉시 사천면 석교리 779,1551-5052,N,N,"강릉펫사랑은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
강아지펫헤븐,경북 성주군 선남면 오도리 91,,N,N,"강아지펫헤븐은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
경북,경북 김천시 봉산면 신암리 396,1551-5052,N,N,"경북은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
굿바이펫,충북 제천시 봉양읍 장평리 37-1,05078718215,Y,N,"굿바이펫은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
더포에버,인천 서구 설원로 79,1551-5052,N,N,"더포에버은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
러브펫 경기광주점,경기 광주시 초월읍 지월리 712-10,1551-5052,N,N,"러브펫 경기광주점은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
러브펫 대구점,,1551-5052,N,N,"러브펫 대구점은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
러블리엔젤,경기 양주시 남면 한산리 233-1,1551-5052,N,N,"러블리엔젤은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
로이힐즈,경기 양평군 양동면 삼산리 18,1551-5052,N,N,"로이힐즈은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
리멤버,경기 용인시 처인구 남사읍 방아리 883-3,1551-5052,N,N,"리멤버은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
리멤버파크,충남 논산시 연산면 청동리 16,,N,N,"리멤버파크은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
리틀포즈,대구 군위군 부계면 창평리 812,1551-5052,N,N,"리틀포즈은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
마스꼬따휴,,1551-5052,N,N,"마스꼬따휴은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
메리온,경남 양산시 상북면 외석리 462-1,05078718214,Y,N,"메리온은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
몽몽이엠파크,경기 남양주시 화도읍 구암리 305,1551-5052,N,N,"몽몽이엠파크은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
백꽃사랑하이빛,경기 광주시 곤지암읍 부항리 236,1551-5052,N,N,"백꽃사랑하이빛은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
별다만,전남 나주시 다도면 신동리 467-92,1551-5052,Y,N,"별다만은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
별이되다,경남 김해시 생림면 나전로 137번길 31,1551-5052,N,N,"별이되다은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
서래안펫타운,전북 군산시 경암동 570-39,1551-5052,N,N,"서래안펫타운은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
스냅플러그,부천시 도당동 121-2,1551-5051,N,Y,"스냅플러그은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
스마일어게인,충북 영동군 추풍령면 작점리 148,05078718216,N,N,"스마일어게인은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
스윗드림펫,경북 칠곡군 가산면 다부리 651,1551-5052,N,N,"스윗드림펫은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
스타티스,부산 기장군 일광읍 장곡길 383-2,1551-5052,N,N,"스타티스은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
스타펫,경기 포천시 내촌면 진목리 225,1551-5052,N,N,"스타펫은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
스토리펫,경기 화성시 정남면 문학리 663,05078718320,Y,N,"스토리펫은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
씨엘로펫,경기 용인시 처인구 백암면 죽양대로 1206,1577-7332,Y,N,"씨엘로펫은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
아리아펫,경기 이천시 마장면 장암리 525-1,,N,N,"아리아펫은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
아이드림펫,인천 서구 원당대로246번길 15 (오류동),1551-5052,N,N,"아이드림펫은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
아이들랜드,경북 경산시 남천면 남천로 533,1551-5052,N,N,"아이들랜드은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
아이별,부산 기장군 장안읍 기룡리 240,1551-5052,N,N,"아이별은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
아이헤븐,경남 김해시 생림면 봉림리 872-1,0507-8718-213,Y,N,"경남 김해의 24시간 반려동물 장례식장으로, 아이를 위한 따뜻하고 경건한 이별 공간을 제공합니다."
어게인,충북 옥천군 동이면 옥천동이로 439,1588-7860,Y,N,"어게인은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
엔젤스톤,경기 김포시 하성면 양택리 251-6,05078718210,Y,N,"엔젤스톤은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
오수펫추모공원,전북 임실군 오수면 춘향로 1554-95,05078718218,N,N,"오수펫추모공원은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
우바스,충북 청주시 상당구 남일면 가중리 309-1,1551-5052,N,N,"우바스은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
위드엔젤,전북특별자치도 전주시 덕진구 쪽구름로 179-11,1551-5052,N,N,"위드엔젤은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
이별공간,울산 울주군 삼동면 조일리 906-4,1551-5052,N,N,"이별공간은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
전주아리움,전북 전주시 완산구 효자동3가 1039-1,1551-5052,N,N,"전주아리움은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
전주하늘,전북 완주군 소양면 신원리 1-3,1551-5052,N,N,"전주하늘은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
젠틀펫스타,경북 문경시 문경읍 진안리 350-4,1551-5052,N,N,"젠틀펫스타은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
좋은친구들,충청남도 공주시 우성면 보흥2길 36-61,1551-5052,N,N,"좋은친구들은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
타임투,경기 가평군 상면 비룡로 259,1551-5052,N,N,"타임투은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
파트라슈,부산 기장군 장안읍 좌동리 49-1,1551-5052,N,N,부산 기장군에 위치하여 오랜 시간 보호자님들의 신뢰를 받아온 안심 반려동물 장례식장 파트라슈입니다.
패투헤븐,강원 원주시 소초면 현촌길 90-3,1551-5052,N,N,"패투헤븐은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
퍼스트펫,전남 나주시 다시면 신광리 911-4,05078718322,Y,N,"퍼스트펫은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
페어웰,,1551-5052,N,N,"페어웰은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
펫노블레스,경남 양산시 상북면 상삼리 807,1551-5052,N,N,"펫노블레스은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
펫로스케어,경남 김해시 상동면 우계리 112-1,1551-5052,N,N,"펫로스케어은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
펫메모리얼,강원 횡성군 공근면 초원리 109-16,,N,N,"펫메모리얼은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
펫바라기 남원점,전북 남원시 보절면 신파리 403,1551-5052,N,N,"펫바라기 남원점은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
펫바라기 일산점,경기 고양시 일산동구 설문동 515-1,1551-5052,N,N,"펫바라기 일산점은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
펫오케스트라,경기도 화성시 비봉면 양노남길 108,1551-5052,Y,N,"펫오케스트라은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
펫콤,경기 안산시 단원구 목내동 517-9,1551-5052,N,N,"펫콤은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
펫포레스트 경기광주점,경기 광주시 오포안로 77,05078718325,Y,N,"펫포레스트 경기광주점은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
펫포레스트 김포점,경기 김포시 통진읍 고정로 308,05078718323,N,N,"펫포레스트 김포점은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
펫포레스트 남양주점,경기 남양주시 일패동 461-1,05078718324,Y,N,"펫포레스트 남양주점은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
펫포유,세종특별자치시 장군면 금암리 88-1,05078718212,N,Y,"펫포유은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
포이리스,,1551-5052,N,N,"포이리스은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
포포즈 경기광주점,경기 광주시 초월읍 신월리 592-19,1551-5052,N,N,"포포즈 경기광주점은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
포포즈 김포점,경기 김포시 월곶면 개곡리 810-1,1551-5052,N,N,"포포즈 김포점은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
포포즈 김해점,경상남도 김해시 한림면 안하로 102,,N,N,"포포즈 김해점은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
포포즈 부산점,,1551-5052,N,N,"포포즈 부산점은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
포포즈 세종점,세종 부강면 부강리 658-2,1551-5052,N,N,"포포즈 세종점은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
포포즈 양주점,경기 양주시 광적면 비암리 583-4,1551-5052,N,N,"포포즈 양주점은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
포포즈 화성점,경기 화성시 팔탄면 창곡리 925-6,1551-5052,N,N,"포포즈 화성점은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
푸른솔,전남 여수시 율촌면 취적리 964-3,1551-5052,N,N,"푸른솔은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
하늘강아지,경기 광주시 초월읍 선동리 386-5,1551-5052,N,N,"경기 광주의 반려동물 장례식장으로, 단독 추모공간과 여유로운 추모 시간을 제공하여 마지막 이별에 집중할 수 있도록 돕습니다."
하늘별,,1551-5052,N,N,"하늘별은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
하늘소풍,경남 고성군 회화면 봉동리 608-3,1551-5052,N,N,"하늘소풍은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
하얀민들레,경북 청도군 화양읍 남성현로 852,1551-5052,N,N,"하얀민들레은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
한별,경남 창원시 성산구 창원대로 11,1551-5052,N,N,"한별은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
한별리멤버파크,경남 함안군 산인면 송산로 441,,N,N,"한별리멤버파크은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
한별소울펫,,1551-5052,N,N,"한별소울펫은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
해늘마루,전남 목포시 대양동 756-10,1551-5052,N,N,"해늘마루은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
해피엔딩,경기 하남시 서하남로 418번길 54,1551-5052,N,N,"해피엔딩은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
해피펫,전북 완주군 이서면 은교리 508,1551-5052,N,N,"해피펫은(는) 보호자님의 슬픔을 위로하며, 정성을 다해 반려동물의 마지막 소풍길을 배웅합니다."
